Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Dragon's Breath","Goat Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/114384671/dragons-breath,2.3,-1,TR,5.11c/d,1,,37.2282,-122.1079
"Cave route","Indian Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/114781169/cave-route,3.1,-1,TR,5.7,1,30,37.2319,-122.0934
"Shag Rug","Indian Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/116241290/shag-rug,2.1,-1,TR,5.8,1,,37.2319,-122.0934
"South Face","Indian Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105734960/south-face,1.8,-1,"Sport, TR",5.8+,1,30,37.2319,-122.0934
"Puckered Starfish","Indian Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105734708/puckered-starfish,2.3,-1,"Sport, TR",5.10a,1,30,37.2319,-122.0934
"Blowing Bubbles","Indian Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/106554460/blowing-bubbles,2.2,-1,"Sport, TR",5.10a,1,50,37.2319,-122.0934
[Redacted],"Indian Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/106586086/redacted,2.2,-1,"Trad, TR",5.10c,1,50,37.2319,-122.0934
"Viscious Circles","Indian Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105734714/viscious-circles,2.4,-1,"Sport, TR",5.10c/d,1,50,37.2319,-122.0934
Hocus,"Indian Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105734726/hocus,2.1,-1,"Sport, TR","5.11b R",1,40,37.2319,-122.0934
"High On Testosterone","Indian Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105736282/high-on-testosterone,1.3,-1,"Trad, Sport",5.11b,1,60,37.2319,-122.0934
"Dismal Abysmal","Indian Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/110341103/dismal-abysmal,2.9,-1,TR,"5.11c PG13",1,50,37.2319,-122.0934
"Donkey Dong","Indian Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105734711/donkey-dong,3.2,-1,"Sport, TR",5.11c/d,1,30,37.2319,-122.0934
Krokus,"Indian Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105734723/krokus,3.4,-1,"Trad, TR","5.12a R",1,50,37.2319,-122.0934
"Strip Poker","Indian Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/111964014/strip-poker,2.0,-1,Sport,5.12a,1,65,37.2319,-122.0934
"Jail Bird","Indian Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/106622736/jail-bird,1.8,-1,"Sport, TR",5.12a,1,25,37.2319,-122.0934
"Jail Bird Direct","Indian Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/117970255/jail-bird-direct,3.5,-1,"Sport, TR",5.12,1,25,37.2319,-122.0934
"Slot Nose","Shady Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105734795/slot-nose,1.8,-1,Sport,5.8,1,30,37.22654,-122.10116
"Tree Killer","Shady Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/110747393/tree-killer,0.7,-1,Trad,5.8,1,30,37.22654,-122.10116
